Index,Hotel Name,Address
164,CITADINES WATERFRONT KOTA KINABALU,"08, JALAN TUN FUAD STEPHENS, 88000 KOTA KINABALU, Sabah"
165,CITITEL PENANG,"66, JALAN PENANG, 10000 GEORGETOWN, Pulau Pinang"
166,CITY RISE HOTEL,"LOT 1738 & 1783, BLOCK 9, MCLD JALAN BROOKE, 98000 MIRI, Sarawak"
167,CLUB MED CHERATING,"HVOM 29th MILES, JALAN KUANTAN-KEMAMAN, 26080 KUANTAN, Pahang"
168,COLMAR TROPICALE,"KM48, PERSIMPANGAN BERTINGKAT LEBUHRAYA KARAK, 28700 BUKIT TINGGI, Pahang"
169,CONCORDE HOTEL KUALA LUMPUR,"NO. 2, JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
170,CONCORDE HOTEL SHAH ALAM,"3, Jalan Tg.Ampuan Zabedah C9/C, Seksyen 9, 40100 Shah Alam, Selangor"
171,CORUS HOTEL,"PERSIARAN HAMPSHIRE, JALAN AMPANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
172,COURTYARD BY MARRIOTT PENANG,"218D, JALAN MACALISTER, 10400 GEORGETOWN, Pulau Pinang"
173,COURTYARD BY MARRIOTT SETIA ALAM,"NO. 6, JALAN SETIA DAGANG AH U13/AH, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM, Selangor"
174,CROWNE PLAZA PENANG STRAITS CITY,"2570, JALAN BAGAN LUAR, 12000 BUTTERWORTH, Pulau Pinang"
175,DAMAI BEACH RESORT,"TELUK BANDUNG, SANTUBONG, P.O. BOX 2870, 93756 KUCHING, Sarawak"
176,DOUBLETREE BY HILTON DAMAI LAUT RESORT,"JALAN DAMAI LAUT, OFF JALAN TELUK SENANGIN, 32200 LUMUT, Perak"
177,DOUBLETREE BY HILTON JOHOR BAHRU,"NO. 12, JALAN NGEE HENG, 80000 JOHOR BAHRU, Johor"
178,DOUBLETREE BY HILTON KUALA LUMPUR CITY CENTRE,"THE INTERMARK, 348 JALAN TUN RAZAK, 50400 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
179,DOUBLETREE RESORT BY HILTON PENANG,"56, JALAN LOW YAT, BATU FERRINGHI, 11100 BATU FERRINGHI, Pulau Pinang"
180,DUYONG MARINA & RESORT,"PULAU DUYONG, 21300 KUALA TERENGGANU, Terengganu"
181,DYNASTY HOTEL MIRI,"LOT 683, BLOCK 9, JALAN PUJUT-LUTONG, CDT NO. 20, 98000 MIRI, Sarawak"
182,EASTIN HOTEL PENANG,"NO. 1, SOLOK BAYAN INDAH QUEENSBAY, 11900 BAYAN LEPAS, Pulau Pinang"
183,EASTWOOD VALLEY GOLF & COUNTRY CLUB,"LOT 1379, BLOCK 17, JALAN MIRI BY-PASS, P.O BOX 1437, 98008 MIRI, Sarawak"
184,ELEMENT KUALA LUMPUR,"ILHAM TOWER, 8, JALAN BINJAI, 50450, Wilayah Persekutuan Kuala Lumpur"
185,ELSE,"NO. 145, JALAN TUN H.S. LEE, 50000 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
186,EMBUN LUXURY VILLAS,"LOT 6250 & 6251, HULU SUM SUM, KAMPUNG JANDA BAIK, 28750 BENTONG, Pahang"
187,FAIRFIELD BY MARRIOT,"No.1, Lot 2203, 4172 & 4173, 2nd Floor-7th Floor, Old Airport Bintulu Paragon 97000 Bintulu, Sarawak"
188,FLAMINGO BY THE BEACH PENANG,"JALAN TANJUNG BUNGAH, 11200 TANJUNG BUNGAH, Pulau Pinang"
189,FOUR POINTS BY SHERATON DESARU,"Jalan Kempas 2, Taman Desaru Utama, 81930 Bandar Penawar, Johor"
190,"FOUR POINTS BY SHERATON KUALA LUMPUR, CHNATOWN","NO. 2 JALAN BALAI POLIS, 50000 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
191,FOUR POINTS BY SHERATON PUCHONG,"1201, Tower 3, Puchong Financial Corporate Centre (PFCC), Jln Puteri 1/2, Bandar Puteri,47100 Puchong, Selangor"
192,FRASER PLACE PUTERI HARBOUR,"RESIDENSI HOTEL MARINA, PERSIARAN TANJUNG, PENGKALAN PUTERI, 79100 ISKANDAR PUTERI, Johor"
193,GENO HOTEL,"JALAN SUBANG MAS, TAMAN SUBANG MAS, 47620 UEP SUBANG JAYA, Selangor"
194,GEO RESORT & HOTEL,"JALAN PERMAI 2, GENTING PERMAI AVENUE, 69000 GENTING HIGHLANDS, Pahang"
195,GRAND ALORA HOTEL,"NO 888, PERSIARAN BANDAR BARU MERGONG, LEBUHRAYA SULTANAH BAHIYAH, 05150 ALOR SETAR, Kedah"
196,GRAND DARULMAKMUR HOTEL KUANTAN,"LOT 5 & 10, LRG GAMBUT OFF JALAN BERSERAH, 25300 KUANTAN, Pahang"
197,GRAND ION DELEMEN HOTEL,"JALAN ION DELEMEN 1, DENTING HIGHLANDS, 69000, Pahang"
198,GRAND PALACE HOTEL,"LOT 638, JALAN MIRI-PUJUT, PELITA COMMERCIAL CENTRE, 98000 MIRI, Sarawak"
199,GRAND PARAGON HOTEL,"NO 18, JALAN HARIMAU, TAMAN CENTURY, 80250 JOHOR BAHRU, Johor"
200,GRAND RIVERVIEW HOTEL,"JALAN POST OFFICE LAMA, 15000 KOTA BHARU, Kelantan"
201,GRAND SWISS-BELHOTEL MELAKA,"146, JALAN HANG TUAH, 75300 MELAKA, Melaka"
